Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
280.15	3.7205	869.59	0.0011500	177.19	181.47	0.76990	0.91463	2.4594	506.76	0.52777	undefined	undefined	0.0038322	104.93	0.0095302	359.82	395.28	1.5331	0.90887	1.9803	207.30	13.962	undefined	undefined
281.15	3.8124	863.89	0.0011576	179.41	183.82	0.77790	0.91534	2.4931	499.10	0.55825	undefined	undefined	0.0036685	108.14	0.0092472	359.47	394.72	1.5280	0.91357	2.0282	206.70	13.839	undefined	undefined
282.15	3.9059	858.08	0.0011654	181.65	186.20	0.78596	0.91611	2.5292	491.37	0.59037	undefined	undefined	0.0035063	111.46	0.0089715	359.08	394.13	1.5229	0.91837	2.0795	206.08	13.717	undefined	undefined
283.15	4.0012	852.17	0.0011735	183.90	188.60	0.79406	0.91696	2.5678	483.56	0.62428	undefined	undefined	0.0033457	114.91	0.0087026	358.67	393.49	1.5177	0.92327	2.1346	205.45	13.594	undefined	undefined
284.15	4.0982	846.14	0.0011818	186.18	191.03	0.80221	0.91789	2.6094	475.65	0.66013	undefined	undefined	0.0031866	118.48	0.0084404	358.23	392.82	1.5124	0.92826	2.1938	204.80	13.471	undefined	undefined
285.15	4.1969	839.99	0.0011905	188.48	193.48	0.81042	0.91891	2.6542	467.66	0.69809	undefined	undefined	0.0030292	122.18	0.0081845	357.75	392.10	1.5070	0.93337	2.2578	204.14	13.348	undefined	undefined
286.15	4.2974	833.71	0.0011995	190.81	195.97	0.81870	0.92001	2.7026	459.56	0.73835	undefined	undefined	0.0028734	126.03	0.0079346	357.23	391.33	1.5014	0.93859	2.3270	203.46	13.223	undefined	undefined
287.15	4.3996	827.28	0.0012088	193.16	198.48	0.82705	0.92122	2.7552	451.35	0.78116	undefined	undefined	0.0027194	130.03	0.0076905	356.68	390.51	1.4958	0.94394	2.4023	202.76	13.098	undefined	undefined
288.15	4.5037	820.71	0.0012185	195.54	201.03	0.83548	0.92255	2.8124	443.03	0.82674	undefined	undefined	0.0025671	134.20	0.0074517	356.08	389.64	1.4900	0.94943	2.4845	202.04	12.972	undefined	undefined
289.15	4.6097	813.97	0.0012285	197.96	203.62	0.84399	0.92400	2.8751	434.59	0.87541	undefined	undefined	0.0024167	138.54	0.0072182	355.44	388.71	1.4841	0.95507	2.5746	201.31	12.844	undefined	undefined
290.15	4.7175	807.06	0.0012391	200.40	206.25	0.85260	0.92559	2.9440	426.02	0.92748	undefined	undefined	0.0022682	143.07	0.0069895	354.75	387.72	1.4780	0.96087	2.6738	200.55	12.714	undefined	undefined
291.15	4.8272	799.96	0.0012501	202.88	208.91	0.86131	0.92733	3.0201	417.30	0.98334	undefined	undefined	0.0021216	147.81	0.0067654	354.00	386.66	1.4718	0.96685	2.7836	199.78	12.582	undefined	undefined
292.15	4.9389	792.65	0.0012616	205.40	211.63	0.87014	0.92925	3.1046	408.43	1.0434	undefined	undefined	0.0019771	152.78	0.0065456	353.20	385.53	1.4654	0.97302	2.9059	198.99	12.447	undefined	undefined
293.15	5.0525	785.10	0.0012737	207.96	214.40	0.87910	0.93136	3.1992	399.39	1.1083	undefined	undefined	0.0018348	157.99	0.0063297	352.34	384.32	1.4588	0.97940	3.0428	198.18	12.309	undefined	undefined
294.15	5.1682	777.31	0.0012865	210.57	217.22	0.88820	0.93369	3.3057	390.17	1.1785	undefined	undefined	0.0016947	163.47	0.0061175	351.41	383.02	1.4519	0.98601	3.1974	197.35	12.167	undefined	undefined
295.15	5.2859	769.23	0.0013000	213.23	220.10	0.89747	0.93627	3.4267	380.75	1.2549	undefined	undefined	0.0015570	169.25	0.0059085	350.40	381.63	1.4448	0.99288	3.3731	196.50	12.020	undefined	undefined
296.15	5.4057	760.84	0.0013143	215.95	223.05	0.90693	0.93913	3.5654	371.11	1.3383	undefined	undefined	0.0014217	175.36	0.0057025	349.31	380.14	1.4374	1.0000	3.5750	195.62	11.868	undefined	undefined
297.15	5.5277	752.09	0.0013296	218.73	226.08	0.91659	0.94233	3.7261	361.24	1.4297	undefined	undefined	0.0012891	181.85	0.0054990	348.13	378.52	1.4296	1.0075	3.8092	194.72	11.709	undefined	undefined
