Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
223.15	0.64749	1109.7	0.00090118	66.903	67.487	0.32942	0.92151	1.7998	889.13	-0.15230	undefined	undefined	0.014918	17.008	0.058797	355.37	393.44	1.7901	0.70073	1.0101	221.04	24.866	undefined	undefined
224.15	0.67309	1106.2	0.00090396	68.687	69.295	0.33740	0.92092	1.8036	882.76	-0.14775	undefined	undefined	0.014701	17.653	0.056649	355.68	393.81	1.7852	0.70397	1.0173	221.09	24.555	undefined	undefined
225.15	0.69944	1102.8	0.00090676	70.474	71.108	0.34537	0.92034	1.8076	876.39	-0.14309	undefined	undefined	0.014484	18.317	0.054595	355.99	394.17	1.7803	0.70722	1.0246	221.13	24.250	undefined	undefined
226.15	0.72655	1099.4	0.00090960	72.264	72.925	0.35331	0.91977	1.8118	870.02	-0.13830	undefined	undefined	0.014268	19.000	0.052632	356.29	394.53	1.7754	0.71047	1.0321	221.16	23.952	undefined	undefined
227.15	0.75444	1095.9	0.00091247	74.057	74.745	0.36123	0.91922	1.8160	863.65	-0.13339	undefined	undefined	0.014053	19.703	0.050754	356.59	394.88	1.7706	0.71373	1.0396	221.19	23.659	undefined	undefined
228.15	0.78311	1092.4	0.00091538	75.853	76.570	0.36913	0.91869	1.8204	857.27	-0.12835	undefined	undefined	0.013838	20.426	0.048957	356.88	395.22	1.7658	0.71700	1.0474	221.20	23.373	undefined	undefined
229.15	0.81258	1088.9	0.00091832	77.653	78.400	0.37701	0.91817	1.8249	850.89	-0.12319	undefined	undefined	0.013624	21.170	0.047236	357.17	395.55	1.7610	0.72028	1.0552	221.20	23.092	undefined	undefined
230.15	0.84288	1085.4	0.00092129	79.457	80.233	0.38488	0.91766	1.8295	844.50	-0.11788	undefined	undefined	0.013411	21.935	0.045588	357.45	395.87	1.7563	0.72356	1.0632	221.20	22.817	undefined	undefined
231.15	0.87400	1081.9	0.00092431	81.264	82.072	0.39272	0.91717	1.8342	838.11	-0.11244	undefined	undefined	0.013198	22.722	0.044009	357.72	396.19	1.7516	0.72686	1.0713	221.19	22.548	undefined	undefined
232.15	0.90596	1078.3	0.00092735	83.075	83.915	0.40055	0.91669	1.8391	831.72	-0.10686	undefined	undefined	0.012986	23.532	0.042496	357.99	396.49	1.7470	0.73016	1.0797	221.16	22.283	undefined	undefined
233.15	0.93878	1074.8	0.00093044	84.889	85.763	0.40836	0.91623	1.8442	825.32	-0.10113	undefined	undefined	0.012775	24.364	0.041045	358.26	396.79	1.7424	0.73347	1.0881	221.13	22.025	undefined	undefined
234.15	0.97248	1071.2	0.00093357	86.708	87.616	0.41616	0.91578	1.8494	818.91	-0.095240	undefined	undefined	0.012565	25.219	0.039653	358.51	397.07	1.7378	0.73678	1.0968	221.08	21.771	undefined	undefined
235.15	1.0071	1067.5	0.00093673	88.530	89.474	0.42394	0.91534	1.8547	812.50	-0.089196	undefined	undefined	0.012355	26.098	0.038318	358.76	397.35	1.7332	0.74011	1.1056	221.03	21.523	undefined	undefined
236.15	1.0425	1063.9	0.00093994	90.357	91.337	0.43170	0.91492	1.8602	806.09	-0.082989	undefined	undefined	0.012146	27.001	0.037036	359.01	397.62	1.7287	0.74344	1.1146	220.97	21.279	undefined	undefined
237.15	1.0789	1060.2	0.00094319	92.188	93.205	0.43945	0.91452	1.8659	799.66	-0.076613	undefined	undefined	0.011938	27.929	0.035805	359.25	397.88	1.7242	0.74678	1.1237	220.90	21.041	undefined	undefined
238.15	1.1162	1056.5	0.00094648	94.023	95.079	0.44719	0.91413	1.8717	793.23	-0.070063	undefined	undefined	0.011731	28.883	0.034622	359.48	398.12	1.7197	0.75014	1.1331	220.82	20.807	undefined	undefined
239.15	1.1545	1052.8	0.00094981	95.862	96.959	0.45491	0.91375	1.8777	786.79	-0.063331	undefined	undefined	0.011524	29.863	0.033486	359.70	398.36	1.7152	0.75350	1.1427	220.72	20.578	undefined	undefined
240.15	1.1937	1049.1	0.00095319	97.706	98.844	0.46263	0.91339	1.8839	780.35	-0.056412	undefined	undefined	0.011318	30.870	0.032394	359.92	398.59	1.7108	0.75686	1.1525	220.62	20.353	undefined	undefined
241.15	1.2339	1045.3	0.00095662	99.555	100.73	0.47032	0.91304	1.8903	773.89	-0.049299	undefined	undefined	0.011113	31.904	0.031344	360.13	398.80	1.7064	0.76024	1.1626	220.51	20.133	undefined	undefined
242.15	1.2751	1041.6	0.00096010	101.41	102.63	0.47801	0.91270	1.8969	767.43	-0.041985	undefined	undefined	0.010908	32.966	0.030334	360.33	399.01	1.7019	0.76363	1.1728	220.39	19.917	undefined	undefined
243.15	1.3172	1037.7	0.00096362	103.27	104.54	0.48569	0.91238	1.9036	760.95	-0.034462	undefined	undefined	0.010705	34.057	0.029362	360.52	399.20	1.6976	0.76703	1.1833	220.25	19.705	undefined	undefined
244.15	1.3604	1033.9	0.00096720	105.13	106.44	0.49335	0.91208	1.9106	754.47	-0.026723	undefined	undefined	0.010502	35.178	0.028427	360.71	399.38	1.6932	0.77044	1.1941	220.11	19.498	undefined	undefined
245.15	1.4046	1030.0	0.00097083	107.00	108.36	0.50101	0.91179	1.9178	747.98	-0.018759	undefined	undefined	0.010300	36.329	0.027526	360.89	399.56	1.6888	0.77386	1.2051	219.96	19.294	undefined	undefined
246.15	1.4499	1026.2	0.00097451	108.87	110.28	0.50866	0.91151	1.9253	741.47	-0.010561	undefined	undefined	0.010099	37.511	0.026659	361.06	399.71	1.6845	0.77730	1.2164	219.79	19.095	undefined	undefined
247.15	1.4962	1022.2	0.00097825	110.75	112.21	0.51630	0.91125	1.9330	734.95	-0.0021206	undefined	undefined	0.0098982	38.725	0.025823	361.22	399.86	1.6802	0.78075	1.2281	219.62	18.899	undefined	undefined
248.15	1.5436	1018.3	0.00098204	112.63	114.15	0.52393	0.91101	1.9409	728.43	0.0065723	undefined	undefined	0.0096987	39.971	0.025018	361.38	400.00	1.6758	0.78421	1.2400	219.44	18.707	undefined	undefined
249.15	1.5921	1014.3	0.00098589	114.52	116.09	0.53156	0.91078	1.9491	721.88	0.015528	undefined	undefined	0.0095000	41.252	0.024241	361.52	400.12	1.6715	0.78768	1.2522	219.24	18.518	undefined	undefined
250.15	1.6416	1010.3	0.00098981	116.42	118.05	0.53918	0.91057	1.9575	715.33	0.024757	undefined	undefined	0.0093021	42.566	0.023493	361.66	400.23	1.6672	0.79117	1.2648	219.03	18.333	undefined	undefined
251.15	1.6923	1006.3	0.00099378	118.32	120.00	0.54679	0.91037	1.9663	708.76	0.034272	undefined	undefined	0.0091052	43.917	0.022770	361.79	400.32	1.6629	0.79467	1.2778	218.82	18.152	undefined	undefined
252.15	1.7441	1002.2	0.00099782	120.23	121.97	0.55440	0.91019	1.9753	702.18	0.044083	undefined	undefined	0.0089091	45.303	0.022073	361.91	400.41	1.6586	0.79819	1.2911	218.59	17.973	undefined	undefined
253.15	1.7971	998.07	0.0010019	122.15	123.95	0.56201	0.91003	1.9847	695.57	0.054205	undefined	undefined	0.0087138	46.727	0.021401	362.01	400.47	1.6544	0.80173	1.3049	218.35	17.798	undefined	undefined
254.15	1.8512	993.93	0.0010061	124.07	125.93	0.56962	0.90988	1.9943	688.96	0.064650	undefined	undefined	0.0085195	48.190	0.020751	362.11	400.53	1.6501	0.80529	1.3190	218.10	17.626	undefined	undefined
