# Engine name: SSI Liquid - Kerosene
# Sun Jan 21 21:30:38 2018
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, psi  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     0.6000    950.0000      0.0000      1.0000      0.0000   1122.1067     22.6968      1.2370      1.1335   1009.3771     98.0667    123.8482      0.9528      1.2033      1.0000 
     0.6000   1000.0000      0.0000      1.0000      0.0000   1125.1164     22.7417      1.2365      1.1334   1009.7627     99.6197    124.8397      0.9675      1.2124      1.0000 
     0.7000     50.0000      0.0000      1.0000      0.0000    987.5298     20.0108      1.2402      1.1372   1007.7984     98.6169    136.0727      0.9596      1.3241      1.0000 
     0.7000    100.0000      0.0000      1.0000      0.0000   1024.5631     20.4334      1.2461      1.1384   1015.4257    121.9336    150.2976      1.1776      1.4515      1.0000 
     0.7000    150.0000      0.0000      1.0000      0.0000   1047.2290     20.7012      1.2485      1.1389   1019.7484    133.2492    158.2095      1.2814      1.5215      1.0000 
     0.7000    200.0000      0.0000      1.0000      0.0000   1063.7304     20.9007      1.2495      1.1391   1022.7377    140.5352    163.5473      1.3475      1.5682      1.0000 
     0.7000    250.0000      0.0000      1.0000      0.0000   1076.7554     21.0608      1.2500      1.1392   1025.0065    145.8305    167.5265      1.3952      1.6028      1.0000 
     0.7000    300.0000      0.0000      1.0000      0.0000   1087.5353     21.1952      1.2501      1.1393   1026.8251    149.9518    170.6747      1.4321      1.6300      1.0000 
     0.7000    350.0000      0.0000      1.0000      0.0000   1096.7409     21.3113      1.2501      1.1392   1028.3363    153.3040    173.2658      1.4620      1.6523      1.0000 
     0.7000    400.0000      0.0000      1.0000      0.0000   1104.7789     21.4137      1.2499      1.1392   1029.6249    156.1164    175.4591      1.4869      1.6712      1.0000 
     0.7000    450.0000      0.0000      1.0000      0.0000   1111.9156     21.5054      1.2497      1.1391   1030.7449    158.5304    177.3552      1.5083      1.6874      1.0000 
     0.7000    500.0000      0.0000      1.0000      0.0000   1118.3346     21.5885      1.2494      1.1391   1031.7332    160.6392    179.0212      1.5269      1.7016      1.0000 
     0.7000    550.0000      0.0000      1.0000      0.0000   1124.1682     21.6646      1.2491      1.1390   1032.6158     95.8538    125.7179      0.9103      1.1939      1.0000 
     0.7000    600.0000      0.0000      1.0000      0.0000   1129.5151     21.7348      1.2487      1.1389   1033.4118     98.9111    127.5194      0.9386      1.2101      1.0000 
     0.7000    650.0000      0.0000      1.0000      0.0000   1134.4507     21.8000      1.2483      1.1388   1034.1357    101.6089    129.1621      0.9636      1.2248      1.0000 
     0.7000    700.0000      0.0000      1.0000      0.0000   1139.0341     21.8609      1.2479      1.1387   1034.7985    104.0165    130.6673      0.9858      1.2383      1.0000 
     0.7000    750.0000      0.0000      1.0000      0.0000   1143.3123     21.9180      1.2476      1.1386   1035.4092    106.1856    132.0530      1.0057      1.2507      1.0000 
