# Engine name: SSI Liquid - Kerosene
# Fri Jan 5 21:27:23 2018
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, psi  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     0.6000    900.0000      0.0000      0.8660      0.0000   1097.5741     20.8544      1.2392      1.1374   1040.0756    174.1141    189.7500      1.6417      1.7891      1.0000 
     0.6000    950.0000      0.0000      0.8660      0.0000   1100.6939     20.8966      1.2385      1.1373   1040.5302    175.0315    190.4973      1.6496      1.7954      1.0000 
     0.6000   1000.0000      0.0000      0.8660      0.0000   1103.6541     20.9369      1.2379      1.1372   1040.9573    175.8932    191.2003      1.6571      1.8013      1.0000 
     0.7000     50.0000      0.0000      0.8660      0.0000    966.1080     18.5346      1.2480      1.1397   1034.7225    106.6114    142.4630      1.0104      1.3502      1.0000 
     0.7000    100.0000      0.0000      0.8660      0.0000   1003.2246     18.9300      1.2525      1.1410   1042.9310    129.2771    156.9121      1.2156      1.4754      1.0000 
     0.7000    150.0000      0.0000      0.8660      0.0000   1025.8605     19.1790      1.2539      1.1415   1047.5826    140.4018    164.8453      1.3143      1.5432      1.0000 
     0.7000    200.0000      0.0000      0.8660      0.0000   1042.3046     19.3637      1.2544      1.1417   1050.8001    147.5948    170.1870      1.3774      1.5883      1.0000 
     0.7000    250.0000      0.0000      0.8660      0.0000   1055.2639     19.5116      1.2544      1.1418   1053.2422    152.8347    174.1667      1.4230      1.6217      1.0000 
     0.7000    300.0000      0.0000      0.8660      0.0000   1065.9763     19.6355      1.2541      1.1419   1055.1999    156.9189    177.3148      1.4583      1.6479      1.0000 
     0.7000    350.0000      0.0000      0.8660      0.0000   1075.1148     19.7423      1.2538      1.1419   1056.8274    160.2445    179.9055      1.4870      1.6694      1.0000 
