# Engine name: MASA Hybrid
# Fri Dec 2 19:39:07 2016
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, psi  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     2.0000    420.0000      0.0000      1.0000      0.0000   1482.2926     18.7467      1.2735      1.2480   1236.6126    186.9100    208.7049      1.4822      1.6551      1.0000 
     2.0000    430.0000      0.0000      1.0000      0.0000   1483.2852     18.7534      1.2735      1.2477   1236.9210    187.4680    209.1480      1.4863      1.6582      1.0000 
     2.0000    440.0000      0.0000      1.0000      0.0000   1484.2647     18.7601      1.2735      1.2474   1237.2232    188.0108    209.5796      1.4902      1.6612      1.0000 
     2.0000    450.0000      0.0000      1.0000      0.0000   1485.2315     18.7667      1.2735      1.2471   1237.5194    188.5392    210.0003      1.4941      1.6641      1.0000 
     2.0000    460.0000      0.0000      1.0000      0.0000   1486.1860     18.7733      1.2735      1.2467   1237.8098    189.0537    210.4105      1.4978      1.6670      1.0000 
     2.0000    470.0000      0.0000      1.0000      0.0000   1487.1285     18.7798      1.2736      1.2464   1238.0947    189.5551    210.8108      1.5014      1.6698      1.0000 
     2.0000    480.0000      0.0000      1.0000      0.0000   1488.0594     18.7862      1.2736      1.2461   1238.3742    190.0441    211.2015      1.5050      1.6725      1.0000 
     2.0000    490.0000      0.0000      1.0000      0.0000   1488.9789     18.7925      1.2736      1.2458   1238.6486    190.5211    211.5832      1.5084      1.6751      1.0000 
     2.0000    500.0000      0.0000      1.0000      0.0000   1489.8874     18.7987      1.2736      1.2455   1238.9181    190.9867    211.9561      1.5118      1.6777      1.0000 
     2.0000    510.0000      0.0000      1.0000      0.0000   1490.7851     18.8049      1.2737      1.2453   1239.1827    191.4414    212.3207      1.5150      1.6803      1.0000 
     2.0000    520.0000      0.0000      1.0000      0.0000   1491.6723     18.8111      1.2737      1.2450   1239.4428    191.8856    212.6774      1.5182      1.6827      1.0000 
     2.0000    530.0000      0.0000      1.0000      0.0000   1492.5493     18.8171      1.2737      1.2447   1239.6984    192.3199    213.0263      1.5213      1.6851      1.0000 
     2.0000    540.0000      0.0000      1.0000      0.0000   1493.4164     18.8231      1.2738      1.2444   1239.9496    192.7446    213.3679      1.5244      1.6875      1.0000 
     2.0000    550.0000      0.0000      1.0000      0.0000   1494.2737     18.8291      1.2738      1.2442   1240.1967    193.1600    213.7024      1.5274      1.6898      1.0000 
     2.0000    560.0000      0.0000      1.0000      0.0000   1495.1215     18.8349      1.2738      1.2439   1240.4398    193.5667    214.0301      1.5303      1.6921      1.0000 
     2.0000    570.0000      0.0000      1.0000      0.0000   1495.9601     18.8408      1.2739      1.2437   1240.6790    193.9649    214.3512      1.5331      1.6943      1.0000 
     2.0000    580.0000      0.0000      1.0000      0.0000   1496.7897     18.8465      1.2739      1.2434   1240.9143    194.3549    214.6660      1.5359      1.6965      1.0000 
     2.0000    590.0000      0.0000      1.0000      0.0000   1497.6104     18.8522      1.2739      1.2432   1241.1461    194.7370    214.9747      1.5387      1.6986      1.0000 
     2.0000    600.0000      0.0000      1.0000      0.0000   1498.4225     18.8579      1.2740      1.2430   1241.3742    195.1116    215.2776      1.5413      1.7007      1.0000 
     2.0000    610.0000      0.0000      1.0000      0.0000   1499.2261     18.8635      1.2740      1.2427   1241.5989    195.4789    215.5748      1.5440      1.7027      1.0000 
     2.0000    620.0000      0.0000      1.0000      0.0000   1500.0215     18.8690      1.2741      1.2425   1241.8203    195.8392    215.8666      1.5465      1.7047      1.0000 
     2.0000    630.0000      0.0000      1.0000      0.0000   1500.8089     18.8746      1.2741      1.2423   1242.0384    196.1927    216.1531      1.5491      1.7067      1.0000 
     2.0000    640.0000      0.0000      1.0000      0.0000   1501.5884     18.8800      1.2741      1.2421   1242.2533    196.5396    216.4344      1.5515      1.7086      1.0000 
     2.0000    650.0000      0.0000      1.0000      0.0000   1502.3601     18.8854      1.2742      1.2419   1242.4652    196.8803    216.7109      1.5540      1.7105      1.0000 
     2.0000    660.0000      0.0000      1.0000      0.0000   1503.1243     18.8908      1.2742      1.2416   1242.6741    197.2148    216.9826      1.5563      1.7123      1.0000 
     2.0000    670.0000      0.0000      1.0000      0.0000   1503.8811     18.8961      1.2743      1.2414   1242.8801    197.5434    217.2496      1.5587      1.7142      1.0000 
     2.0000    680.0000      0.0000      1.0000      0.0000   1504.6307     18.9013      1.2743      1.2412   1243.0833    197.8663    217.5122      1.5610      1.7159      1.0000 
     2.0000    690.0000      0.0000      1.0000      0.0000   1505.3732     18.9066      1.2744      1.2410   1243.2837    198.1837    217.7704      1.5632      1.7177      1.0000 
     2.0000    700.0000      0.0000      1.0000      0.0000   1506.1087     18.9117      1.2744      1.2408   1243.4815    198.4957    218.0245      1.5654      1.7194      1.0000 
     2.0000    710.0000      0.0000      1.0000      0.0000   1506.8375     18.9169      1.2744      1.2406   1243.6766    198.8025    218.2744      1.5676      1.7211      1.0000 
     2.0000    720.0000      0.0000      1.0000      0.0000   1507.5596     18.9220      1.2745      1.2404   1243.8692    199.1043    218.5205      1.5697      1.7228      1.0000 
     2.0000    730.0000      0.0000      1.0000      0.0000   1508.2751     18.9270      1.2745      1.2403   1244.0593    199.4012    218.7626      1.5718      1.7245      1.0000 
     2.0000    740.0000      0.0000      1.0000      0.0000   1508.9842     18.9320      1.2746      1.2401   1244.2471    199.6933    219.0011      1.5739      1.7261      1.0000 
     2.0000    750.0000      0.0000      1.0000      0.0000   1509.6871     18.9370      1.2746      1.2399   1244.4324    199.9809    219.2359      1.5759      1.7277      1.0000 
     2.0000    760.0000      0.0000      1.0000      0.0000   1510.3838     18.9419      1.2747      1.2397   1244.6155    200.2640    219.4672      1.5779      1.7292      1.0000 
     2.0000    770.0000      0.0000      1.0000      0.0000   1511.0744     18.9468      1.2747      1.2395   1244.7963    200.5428    219.6951      1.5799      1.7308      1.0000 
     2.0000    780.0000      0.0000      1.0000      0.0000   1511.7591     18.9517      1.2748      1.2394   1244.9749    200.8174    219.9197      1.5818      1.7323      1.0000 
     2.0000    790.0000      0.0000      1.0000      0.0000   1512.4379     18.9565      1.2748      1.2392   1245.1514    201.0878    220.1410      1.5837      1.7338      1.0000 
     2.0000    800.0000      0.0000      1.0000      0.0000   1513.1111     18.9612      1.2749      1.2390   1245.3259    201.3543    220.3592      1.5856      1.7353      1.0000 
     2.0000    810.0000      0.0000      1.0000      0.0000   1513.7786     18.9660      1.2749      1.2388   1245.4982    201.6169    220.5743      1.5875      1.7367      1.0000 
     2.0000    820.0000      0.0000      1.0000      0.0000   1514.4406     18.9707      1.2749      1.2387   1245.6686    201.8758    220.7864      1.5893      1.7382      1.0000 
     2.0000    830.0000      0.0000      1.0000      0.0000   1515.0971     18.9754      1.2750      1.2385   1245.8371    202.1310    220.9956      1.5911      1.7396      1.0000 
     2.0000    840.0000      0.0000      1.0000      0.0000   1515.7484     18.9800      1.2750      1.2384   1246.0036    202.3826    221.2020      1.5928      1.7410      1.0000 
     2.0000    850.0000      0.0000      1.0000      0.0000   1516.3944     18.9846      1.2751      1.2382   1246.1683    202.6307    221.4056      1.5946      1.7423      1.0000 
     2.0000    860.0000      0.0000      1.0000      0.0000   1517.0353     18.9892      1.2751      1.2380   1246.3311    202.8754    221.6065      1.5963      1.7437      1.0000 
     2.0000    870.0000      0.0000      1.0000      0.0000   1517.6711     18.9937      1.2752      1.2379   1246.4922    203.1168    221.8048      1.5980      1.7450      1.0000 
     2.0000    880.0000      0.0000      1.0000      0.0000   1518.3020     18.9982      1.2752      1.2377   1246.6515    203.3550    222.0005      1.5997      1.7463      1.0000 
     2.0000    890.0000      0.0000      1.0000      0.0000   1518.9279     19.0027      1.2753      1.2376   1246.8091    203.5901    222.1938      1.6013      1.7476      1.0000 
     2.0000    900.0000      0.0000      1.0000      0.0000   1519.5491     19.0072      1.2753      1.2374   1246.9650    203.8221    222.3845      1.6029      1.7489      1.0000 
     2.0000    910.0000      0.0000      1.0000      0.0000   1520.1655     19.0116      1.2754      1.2373   1247.1193    204.0511    222.5729      1.6045      1.7502      1.0000 
     2.0000    920.0000      0.0000      1.0000      0.0000   1520.7773     19.0160      1.2754      1.2372   1247.2720    204.2772    222.7590      1.6061      1.7514      1.0000 
     2.0000    930.0000      0.0000      1.0000      0.0000   1521.3845     19.0203      1.2755      1.2370   1247.4231    204.5004    222.9428      1.6077      1.7527      1.0000 
     2.0000    940.0000      0.0000      1.0000      0.0000   1521.9872     19.0246      1.2755      1.2369   1247.5727    204.7208    223.1243      1.6092      1.7539      1.0000 
     2.0000    950.0000      0.0000      1.0000      0.0000   1522.5855     19.0289      1.2755      1.2367   1247.7208    204.9385    223.3037      1.6107      1.7551      1.0000 
     2.0000    960.0000      0.0000      1.0000      0.0000   1523.1794     19.0332      1.2756      1.2366   1247.8674    205.1536    223.4810      1.6122      1.7563      1.0000 
     2.0000    970.0000      0.0000      1.0000      0.0000   1523.7690     19.0375      1.2756      1.2365   1248.0125    205.3661    223.6562      1.6137      1.7574      1.0000 
     2.0000    980.0000      0.0000      1.0000      0.0000   1524.3544     19.0417      1.2757      1.2363   1248.1562    205.5760    223.8293      1.6152      1.7586      1.0000 
     2.0000    990.0000      0.0000      1.0000      0.0000   1524.9357     19.0459      1.2757      1.2362   1248.2985    205.7834    224.0005      1.6166      1.7598      1.0000 
     2.0000   1000.0000      0.0000      1.0000      0.0000   1525.5128     19.0500      1.2758      1.2361   1248.4395    205.9884    224.1697      1.6181      1.7609      1.0000 
     2.0000   1010.0000      0.0000      1.0000      0.0000   1526.0859     19.0542      1.2758      1.2359   1248.5790    206.1910    224.3370      1.6195      1.7620      1.0000 
     2.0000   1020.0000      0.0000      1.0000      0.0000   1526.6550     19.0583      1.2759      1.2358   1248.7173    206.3913    224.5024      1.6209      1.7631      1.0000 
     2.0000   1030.0000      0.0000      1.0000      0.0000   1527.2202     19.0624      1.2759      1.2357   1248.8543    206.5893    224.6660      1.6222      1.7642      1.0000 
     2.0000   1040.0000      0.0000      1.0000      0.0000   1527.7816     19.0664      1.2759      1.2355   1248.9900    206.7851    224.8278      1.6236      1.7653      1.0000 
     2.0000   1050.0000      0.0000      1.0000      0.0000   1528.3391     19.0705      1.2760      1.2354   1249.1245    206.9787    224.9879      1.6250      1.7663      1.0000 
     2.0000   1060.0000      0.0000      1.0000      0.0000   1528.8929     19.0745      1.2760      1.2353   1249.2577    207.1702    225.1462      1.6263      1.7674      1.0000 
     2.0000   1070.0000      0.0000      1.0000      0.0000   1529.4430     19.0785      1.2761      1.2352   1249.3897    207.3596    225.3029      1.6276      1.7684      1.0000 
     2.0000   1080.0000      0.0000      1.0000      0.0000   1529.9894     19.0824      1.2761      1.2351   1249.5205    207.5469    225.4579      1.6289      1.7695      1.0000 
     2.0000   1090.0000      0.0000      1.0000      0.0000   1530.5323     19.0864      1.2762      1.2349   1249.6502    207.7322    225.6113      1.6302      1.7705      1.0000 
     2.0000   1100.0000      0.0000      1.0000      0.0000   1531.0716     19.0903      1.2762      1.2348   1249.7787    207.9156    225.7631      1.6315      1.7715      1.0000 
     2.0000   1110.0000      0.0000      1.0000      0.0000   1531.6074     19.0942      1.2763      1.2347   1249.9061    208.0970    225.9134      1.6327      1.7725      1.0000 
     2.0000   1120.0000      0.0000      1.0000      0.0000   1532.1398     19.0980      1.2763      1.2346   1250.0324    208.2765    226.0621      1.6340      1.7735      1.0000 
     2.0000   1130.0000      0.0000      1.0000      0.0000   1532.6688     19.1019      1.2763      1.2345   1250.1576    208.4542    226.2093      1.6352      1.7745      1.0000 
